date,cases,deaths,county,population
2019-03-01,0,0,Alameda,1685886.0
2019-03-01,0,0,Contra Costa,1160099.0
2019-03-01,0,0,San Francisco,892280.0
2019-03-01,0,0,San Mateo,778001.0
2019-03-01,0,0,Santa Clara,1967585.0
2019-03-02,0,0,Alameda,1685886.0
2019-03-02,0,0,Contra Costa,1160099.0
2019-03-02,0,0,San Francisco,892280.0
2019-03-02,0,0,San Mateo,778001.0
2019-03-02,0,0,Santa Clara,1967585.0
2019-03-03,0,0,Alameda,1685886.0
2019-03-03,0,0,Contra Costa,1160099.0
2019-03-03,0,0,San Francisco,892280.0
2019-03-03,0,0,San Mateo,778001.0
2019-03-03,0,0,Santa Clara,1967585.0
2019-03-04,0,0,Alameda,1685886.0
2019-03-04,0,0,Contra Costa,1160099.0
2019-03-04,0,0,San Francisco,892280.0
2019-03-04,0,0,San Mateo,778001.0
2019-03-04,0,0,Santa Clara,1967585.0
2019-03-05,0,0,Alameda,1685886.0
2019-03-05,0,0,Contra Costa,1160099.0
2019-03-05,0,0,San Francisco,892280.0
2019-03-05,0,0,San Mateo,778001.0
2019-03-05,0,0,Santa Clara,1967585.0
2019-03-06,0,0,Alameda,1685886.0
2019-03-06,0,0,Contra Costa,1160099.0
2019-03-06,0,0,San Francisco,892280.0
2019-03-06,0,0,San Mateo,778001.0
2019-03-06,0,0,Santa Clara,1967585.0
2019-03-07,0,0,Alameda,1685886.0
2019-03-07,0,0,Contra Costa,1160099.0
2019-03-07,0,0,San Francisco,892280.0
2019-03-07,0,0,San Mateo,778001.0
2019-03-07,0,0,Santa Clara,1967585.0
2019-03-08,0,0,Alameda,1685886.0
2019-03-08,0,0,Contra Costa,1160099.0
2019-03-08,0,0,San Francisco,892280.0
2019-03-08,0,0,San Mateo,778001.0
2019-03-08,0,0,Santa Clara,1967585.0
2019-03-09,0,0,Alameda,1685886.0
2019-03-09,0,0,Contra Costa,1160099.0
2019-03-09,0,0,San Francisco,892280.0
2019-03-09,0,0,San Mateo,778001.0
2019-03-09,0,0,Santa Clara,1967585.0
2019-03-10,0,0,Alameda,1685886.0
2019-03-10,0,0,Contra Costa,1160099.0
2019-03-10,0,0,San Francisco,892280.0
2019-03-10,0,0,San Mateo,778001.0
2019-03-10,0,0,Santa Clara,1967585.0
2019-03-11,0,0,Alameda,1685886.0
2019-03-11,0,0,Contra Costa,1160099.0
2019-03-11,0,0,San Francisco,892280.0
2019-03-11,0,0,San Mateo,778001.0
2019-03-11,0,0,Santa Clara,1967585.0
2019-03-12,0,0,Alameda,1685886.0
2019-03-12,0,0,Contra Costa,1160099.0
2019-03-12,0,0,San Francisco,892280.0
2019-03-12,0,0,San Mateo,778001.0
2019-03-12,0,0,Santa Clara,1967585.0
2019-03-13,0,0,Alameda,1685886.0
2019-03-13,0,0,Contra Costa,1160099.0
2019-03-13,0,0,San Francisco,892280.0
2019-03-13,0,0,San Mateo,778001.0
2019-03-13,0,0,Santa Clara,1967585.0
2019-03-14,0,0,Alameda,1685886.0
2019-03-14,0,0,Contra Costa,1160099.0
2019-03-14,0,0,San Francisco,892280.0
2019-03-14,0,0,San Mateo,778001.0
2019-03-14,0,0,Santa Clara,1967585.0
2019-03-15,0,0,Alameda,1685886.0
2019-03-15,0,0,Contra Costa,1160099.0
2019-03-15,0,0,San Francisco,892280.0
2019-03-15,0,0,San Mateo,778001.0
2019-03-15,0,0,Santa Clara,1967585.0
2019-03-16,0,0,Alameda,1685886.0
2019-03-16,0,0,Contra Costa,1160099.0
2019-03-16,0,0,San Francisco,892280.0
2019-03-16,0,0,San Mateo,778001.0
2019-03-16,0,0,Santa Clara,1967585.0
2019-03-17,0,0,Alameda,1685886.0
2019-03-17,0,0,Contra Costa,1160099.0
2019-03-17,0,0,San Francisco,892280.0
2019-03-17,0,0,San Mateo,778001.0
2019-03-17,0,0,Santa Clara,1967585.0
2019-03-18,0,0,Alameda,1685886.0
2019-03-18,0,0,Contra Costa,1160099.0
2019-03-18,0,0,San Francisco,892280.0
2019-03-18,0,0,San Mateo,778001.0
2019-03-18,0,0,Santa Clara,1967585.0
2019-03-19,0,0,Alameda,1685886.0
2019-03-19,0,0,Contra Costa,1160099.0
2019-03-19,0,0,San Francisco,892280.0
2019-03-19,0,0,San Mateo,778001.0
2019-03-19,0,0,Santa Clara,1967585.0
2019-03-20,0,0,Alameda,1685886.0
2019-03-20,0,0,Contra Costa,1160099.0
2019-03-20,0,0,San Francisco,892280.0
2019-03-20,0,0,San Mateo,778001.0
2019-03-20,0,0,Santa Clara,1967585.0
2019-03-21,0,0,Alameda,1685886.0
2019-03-21,0,0,Contra Costa,1160099.0
2019-03-21,0,0,San Francisco,892280.0
2019-03-21,0,0,San Mateo,778001.0
2019-03-21,0,0,Santa Clara,1967585.0
2019-03-22,0,0,Alameda,1685886.0
2019-03-22,0,0,Contra Costa,1160099.0
2019-03-22,0,0,San Francisco,892280.0
2019-03-22,0,0,San Mateo,778001.0
2019-03-22,0,0,Santa Clara,1967585.0
2019-03-23,0,0,Alameda,1685886.0
2019-03-23,0,0,Contra Costa,1160099.0
2019-03-23,0,0,San Francisco,892280.0
2019-03-23,0,0,San Mateo,778001.0
2019-03-23,0,0,Santa Clara,1967585.0
2019-03-24,0,0,Alameda,1685886.0
2019-03-24,0,0,Contra Costa,1160099.0
2019-03-24,0,0,San Francisco,892280.0
2019-03-24,0,0,San Mateo,778001.0
2019-03-24,0,0,Santa Clara,1967585.0
2019-03-25,0,0,Alameda,1685886.0
2019-03-25,0,0,Contra Costa,1160099.0
2019-03-25,0,0,San Francisco,892280.0
2019-03-25,0,0,San Mateo,778001.0
2019-03-25,0,0,Santa Clara,1967585.0
2019-03-26,0,0,Alameda,1685886.0
2019-03-26,0,0,Contra Costa,1160099.0
2019-03-26,0,0,San Francisco,892280.0
2019-03-26,0,0,San Mateo,778001.0
2019-03-26,0,0,Santa Clara,1967585.0
2019-03-27,0,0,Alameda,1685886.0
2019-03-27,0,0,Contra Costa,1160099.0
2019-03-27,0,0,San Francisco,892280.0
2019-03-27,0,0,San Mateo,778001.0
2019-03-27,0,0,Santa Clara,1967585.0
2019-03-28,0,0,Alameda,1685886.0
2019-03-28,0,0,Contra Costa,1160099.0
2019-03-28,0,0,San Francisco,892280.0
2019-03-28,0,0,San Mateo,778001.0
2019-03-28,0,0,Santa Clara,1967585.0
2019-03-29,0,0,Alameda,1685886.0
2019-03-29,0,0,Contra Costa,1160099.0
2019-03-29,0,0,San Francisco,892280.0
2019-03-29,0,0,San Mateo,778001.0
2019-03-29,0,0,Santa Clara,1967585.0
2019-03-30,0,0,Alameda,1685886.0
2019-03-30,0,0,Contra Costa,1160099.0
2019-03-30,0,0,San Francisco,892280.0
2019-03-30,0,0,San Mateo,778001.0
2019-03-30,0,0,Santa Clara,1967585.0
2019-03-31,0,0,Alameda,1685886.0
2019-03-31,0,0,Contra Costa,1160099.0
2019-03-31,0,0,San Francisco,892280.0
2019-03-31,0,0,San Mateo,778001.0
2019-03-31,0,0,Santa Clara,1967585.0
2019-04-01,0,0,Alameda,1685886.0
2019-04-01,0,0,Contra Costa,1160099.0
2019-04-01,0,0,San Francisco,892280.0
2019-04-01,0,0,San Mateo,778001.0
2019-04-01,0,0,Santa Clara,1967585.0
2019-04-02,0,0,Alameda,1685886.0
2019-04-02,0,0,Contra Costa,1160099.0
2019-04-02,0,0,San Francisco,892280.0
2019-04-02,0,0,San Mateo,778001.0
2019-04-02,0,0,Santa Clara,1967585.0
2019-04-03,0,0,Alameda,1685886.0
2019-04-03,0,0,Contra Costa,1160099.0
2019-04-03,0,0,San Francisco,892280.0
2019-04-03,0,0,San Mateo,778001.0
2019-04-03,0,0,Santa Clara,1967585.0
2019-04-04,0,0,Alameda,1685886.0
2019-04-04,0,0,Contra Costa,1160099.0
2019-04-04,0,0,San Francisco,892280.0
2019-04-04,0,0,San Mateo,778001.0
2019-04-04,0,0,Santa Clara,1967585.0
2019-04-05,0,0,Alameda,1685886.0
2019-04-05,0,0,Contra Costa,1160099.0
2019-04-05,0,0,San Francisco,892280.0
2019-04-05,0,0,San Mateo,778001.0
2019-04-05,0,0,Santa Clara,1967585.0
2019-04-06,0,0,Alameda,1685886.0
2019-04-06,0,0,Contra Costa,1160099.0
2019-04-06,0,0,San Francisco,892280.0
2019-04-06,0,0,San Mateo,778001.0
2019-04-06,0,0,Santa Clara,1967585.0
2019-04-07,0,0,Alameda,1685886.0
2019-04-07,0,0,Contra Costa,1160099.0
2019-04-07,0,0,San Francisco,892280.0
2019-04-07,0,0,San Mateo,778001.0
2019-04-07,0,0,Santa Clara,1967585.0
2019-04-08,0,0,Alameda,1685886.0
2019-04-08,0,0,Contra Costa,1160099.0
2019-04-08,0,0,San Francisco,892280.0
2019-04-08,0,0,San Mateo,778001.0
2019-04-08,0,0,Santa Clara,1967585.0
2019-04-09,0,0,Alameda,1685886.0
2019-04-09,0,0,Contra Costa,1160099.0
2019-04-09,0,0,San Francisco,892280.0
2019-04-09,0,0,San Mateo,778001.0
2019-04-09,0,0,Santa Clara,1967585.0
2019-04-10,0,0,Alameda,1685886.0
2019-04-10,0,0,Contra Costa,1160099.0
2019-04-10,0,0,San Francisco,892280.0
2019-04-10,0,0,San Mateo,778001.0
2019-04-10,0,0,Santa Clara,1967585.0
2019-04-11,0,0,Alameda,1685886.0
2019-04-11,0,0,Contra Costa,1160099.0
2019-04-11,0,0,San Francisco,892280.0
2019-04-11,0,0,San Mateo,778001.0
2019-04-11,0,0,Santa Clara,1967585.0
2019-04-12,0,0,Alameda,1685886.0
2019-04-12,0,0,Contra Costa,1160099.0
2019-04-12,0,0,San Francisco,892280.0
2019-04-12,0,0,San Mateo,778001.0
2019-04-12,0,0,Santa Clara,1967585.0
2019-04-13,0,0,Alameda,1685886.0
2019-04-13,0,0,Contra Costa,1160099.0
2019-04-13,0,0,San Francisco,892280.0
2019-04-13,0,0,San Mateo,778001.0
2019-04-13,0,0,Santa Clara,1967585.0
2019-04-14,0,0,Alameda,1685886.0
2019-04-14,0,0,Contra Costa,1160099.0
2019-04-14,0,0,San Francisco,892280.0
2019-04-14,0,0,San Mateo,778001.0
2019-04-14,0,0,Santa Clara,1967585.0
2019-04-15,0,0,Alameda,1685886.0
2019-04-15,0,0,Contra Costa,1160099.0
2019-04-15,0,0,San Francisco,892280.0
2019-04-15,0,0,San Mateo,778001.0
2019-04-15,0,0,Santa Clara,1967585.0
2019-04-16,0,0,Alameda,1685886.0
2019-04-16,0,0,Contra Costa,1160099.0
2019-04-16,0,0,San Francisco,892280.0
2019-04-16,0,0,San Mateo,778001.0
2019-04-16,0,0,Santa Clara,1967585.0
2019-04-17,0,0,Alameda,1685886.0
2019-04-17,0,0,Contra Costa,1160099.0
2019-04-17,0,0,San Francisco,892280.0
2019-04-17,0,0,San Mateo,778001.0
2019-04-17,0,0,Santa Clara,1967585.0
2019-04-18,0,0,Alameda,1685886.0
2019-04-18,0,0,Contra Costa,1160099.0
2019-04-18,0,0,San Francisco,892280.0
2019-04-18,0,0,San Mateo,778001.0
2019-04-18,0,0,Santa Clara,1967585.0
2019-04-19,0,0,Alameda,1685886.0
2019-04-19,0,0,Contra Costa,1160099.0
2019-04-19,0,0,San Francisco,892280.0
2019-04-19,0,0,San Mateo,778001.0
2019-04-19,0,0,Santa Clara,1967585.0
2019-04-20,0,0,Alameda,1685886.0
2019-04-20,0,0,Contra Costa,1160099.0
2019-04-20,0,0,San Francisco,892280.0
2019-04-20,0,0,San Mateo,778001.0
2019-04-20,0,0,Santa Clara,1967585.0
2019-04-21,0,0,Alameda,1685886.0
2019-04-21,0,0,Contra Costa,1160099.0
2019-04-21,0,0,San Francisco,892280.0
2019-04-21,0,0,San Mateo,778001.0
2019-04-21,0,0,Santa Clara,1967585.0
2019-04-22,0,0,Alameda,1685886.0
2019-04-22,0,0,Contra Costa,1160099.0
2019-04-22,0,0,San Francisco,892280.0
2019-04-22,0,0,San Mateo,778001.0
2019-04-22,0,0,Santa Clara,1967585.0
2019-04-23,0,0,Alameda,1685886.0
2019-04-23,0,0,Contra Costa,1160099.0
2019-04-23,0,0,San Francisco,892280.0
2019-04-23,0,0,San Mateo,778001.0
2019-04-23,0,0,Santa Clara,1967585.0
2019-04-24,0,0,Alameda,1685886.0
2019-04-24,0,0,Contra Costa,1160099.0
2019-04-24,0,0,San Francisco,892280.0
2019-04-24,0,0,San Mateo,778001.0
2019-04-24,0,0,Santa Clara,1967585.0
2019-04-25,0,0,Alameda,1685886.0
2019-04-25,0,0,Contra Costa,1160099.0
2019-04-25,0,0,San Francisco,892280.0
2019-04-25,0,0,San Mateo,778001.0
2019-04-25,0,0,Santa Clara,1967585.0
2019-04-26,0,0,Alameda,1685886.0
2019-04-26,0,0,Contra Costa,1160099.0
2019-04-26,0,0,San Francisco,892280.0
2019-04-26,0,0,San Mateo,778001.0
2019-04-26,0,0,Santa Clara,1967585.0
2019-04-27,0,0,Alameda,1685886.0
2019-04-27,0,0,Contra Costa,1160099.0
2019-04-27,0,0,San Francisco,892280.0
2019-04-27,0,0,San Mateo,778001.0
2019-04-27,0,0,Santa Clara,1967585.0
2019-04-28,0,0,Alameda,1685886.0
2019-04-28,0,0,Contra Costa,1160099.0
2019-04-28,0,0,San Francisco,892280.0
2019-04-28,0,0,San Mateo,778001.0
2019-04-28,0,0,Santa Clara,1967585.0
2019-04-29,0,0,Alameda,1685886.0
2019-04-29,0,0,Contra Costa,1160099.0
2019-04-29,0,0,San Francisco,892280.0
2019-04-29,0,0,San Mateo,778001.0
2019-04-29,0,0,Santa Clara,1967585.0
2019-04-30,0,0,Alameda,1685886.0
2019-04-30,0,0,Contra Costa,1160099.0
2019-04-30,0,0,San Francisco,892280.0
2019-04-30,0,0,San Mateo,778001.0
2019-04-30,0,0,Santa Clara,1967585.0
2019-05-01,0,0,Alameda,1685886.0
2019-05-01,0,0,Contra Costa,1160099.0
2019-05-01,0,0,San Francisco,892280.0
2019-05-01,0,0,San Mateo,778001.0
2019-05-01,0,0,Santa Clara,1967585.0
2019-05-02,0,0,Alameda,1685886.0
2019-05-02,0,0,Contra Costa,1160099.0
2019-05-02,0,0,San Francisco,892280.0
2019-05-02,0,0,San Mateo,778001.0
2019-05-02,0,0,Santa Clara,1967585.0
2019-05-03,0,0,Alameda,1685886.0
2019-05-03,0,0,Contra Costa,1160099.0
